OperatorControlNumber,DifficultyDate,SubmissionDate,OperatorDesignator,SubmitterDesignator,SubmitterTypeCode,ReceivingRegionCode,ReceivingDistrictOffice,SDRType,JASCCode,NatureOfConditionA,NatureOfConditionB,NatureOfConditionC,PrecautionaryProcedureA,PrecautionaryProcedureB,PrecautionaryProcedureC,PrecautionaryProcedureD,StageOfOperationCode,HowDiscoveredCode,RegistryNNumber,AircraftMake,AircraftModel,AircraftSerialNumber,AircraftTotalTime,AircraftTotalCycles,EngineMake,EngineModel,EngineSerialNumber,EngineTotalTime,EngineTotalCycles,PropellerMake,PropellerModel,PropellerSerialNumber,PropellerTotalTime,PropellerTotalCycles,PartMake,PartName,PartNumber,PartSerialNumber,PartCondition,PartLocation,PartTotalTime,PartTotalCycles,PartTimeSince,PartSinceCode,ComponentMake,ComponentModel,ComponentName,ComponentPartNumber,ComponentSerialNumber,ComponentLocation,ComponentTotalTime,ComponentTotalCycles,ComponentTimeSince,ComponentSinceCode,FuselageStationFrom,FuselageStationTo,StringerFrom,StringerFromSide,StringerTo,StringerToSide,WingStationFrom,WingStationFromSide,WingStationTo,WingStationToSide,ButtLineFrom,ButtLineFromSide,ButtlineTo,ButtlineToSide,WaterLineFrom,WaterLineTo,CrackLength,NumberOfCracks,CorrosionLevel,StructuralOther,Discrepancy
CALA2025032503163,3/22/2025 0:00:00,3/25/2025 9:27:30,CALA,CALA,A,GL,33,A,2565,O,,,K,,,,IN,V,76516,BOEING,737824,37096,52233.0,18820.0,,,,,,,,,,,,SLIDE,,,DRAGGING,ZONE 800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOOR 1R SLIDE DRAGGING ON FLOOR TUCKED IN ACCESS GIRT BAR MATERIAL AT DOOR 1R REF AMM 25-66-01.
CALA2025032503178,3/20/2025 0:00:00,3/25/2025 9:27:31,CALA,CALA,A,GL,33,A,3350,L,,,K,,,,IN,C,76254,BOEING,737824,30779,74424.0,27628.0,,,,,,,,,,,,BATTERY PACK,ADD71701100,,DISCHARGED,ZONE 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PASSENGER CABIN EMERGENCY LIGHT BATTERY PACK M1673 FAILS OPERATI ONAL TEST (REF AAR NR 1000032891). REMOVED AND REPLACED BATTERY PACK AT EMERGENCY POWER SUPPLY M167 3 IAW B737 AMM 33-51-06-960-805. TEST GOOD. FAILED FUNCTIONAL CHECK DURING RELIABILITY HOLD IN RFD REMOVED AND REPLACED BATTERY PACK AT EMERGENCY POWER SUPPLY M1673 IAW B737 AMM 33-51-06-960-805. TEST GOOD.
AALA202503069958,3/5/2025 0:00:00,3/6/2025 7:41:50,AALA,AALA,A,SW,21,A,2565,O,,,K,,,,IN,V,975AN,BOEING,737823,29549,66223.0,28040.0,,,,,,,,,,,BOEING,SLIDE,5A3307701,BNG24298,FAULTED,ZONE 800,23287.0,10218.0,25.0,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AIRCRAFT IN BASE MAINTENANCE: L2 DOOR SLIDE PACK EXPANDED AND CAN'T CLOSE SLIDE PACK COVER. REPLACED SLIDE PER AMM 25-66-01-401.
DALA2025030501743,3/2/2025 0:00:00,3/5/2025 15:15:59,DALA,DALA,A,SO,27,A,3350,O,,,K,,,,IN,V,393DA,BOEING,737832,30377,77150.0,30949.0,,,,,,,,,,,,POWER SUPPLY,,,INOPERATIVE,ZONE 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(LOG 6896370) FOUND EMERGENCY SEAT LIGHTS ROW 26 AND BACK NOT WORKING. R/R M01672 POWER SUPPLY PER B737 AMM 33-51. NOW ALL LIGHTS OPS CK GOOD.
AALA202504143451,3/26/2025 0:00:00,4/14/2025 10:10:11,AALA,AALA,A,SW,21,A,5340,O,,,K,,,,IN,V,927NN,BOEING,737823,31171,35063.0,15244.0,,,,,,,,,,,BOEING,TIE DOWN,141A52204,,CORRODED,ZONE 200,,,,,,,,,,,,,,,344,,,,,,,,,,59,L,,,,,,,2.0,,"AIRCRAFT IN BASE MAINTENANCE: CORROSION ON L1 DOOR FLOOR MOUNTED AFT GIRT BAR TIEDOWN AT BS 344, LBL 59. REPLACED TIEDOWN PER AARD 51-00-05-1."
AALA202504141216,3/31/2025 0:00:00,4/14/2025 10:10:10,AALA,AALA,A,SW,21,A,5320,O,,,K,,,,IN,V,927NN,BOEING,737823,31171,35063.0,15244.0,,,,,,,,,,,BOEING,FLOORBEAM,143A524036,,CRACKED,ZONE 100,,,,,,,,,,,,,,,540,,,,,,,,,,2,R,,,,,2.0,1.0,,,"AIRCRAFT IN BASE MAINTENANCE: CRACK IN PASSENGER CABIN FLOOR SUPPORT BREAK ASSEMBLY PANEL AT BS 540, RBL 2. REPLACED BREAK ASSEMBLY PANEL PER AARD 51-00-05-1."
CALA2025031002658,3/7/2025 0:00:00,3/10/2025 11:35:49,CALA,CALA,A,GL,33,A,5315,O,,,K,,,,IN,V,26208,BOEING,737824,30580,74725.0,27747.0,,,,,,,,,,,BOEING,FLOORBEAM,,,CORRODED,ZONE 200,,,,,,,,,,,,,,,,,,,,,,,,,,,50,R,,,,,2.0,,"CORROSION AFT WET AREA CABIN FLOOR BEAM STA 986 RBL 26-37 DOT 260-008. (REF AAR N/R 9944765)(FOR ESFR PURPOSES) ACCOMPLISHED FLOOR BEAM REPAIR AT STA 986.5 RBL 20"" TO RBL 50"" AS PER- ESR 5-11622-WI-P1 AND B-737-800-SRM-53-70-51. ACCOMPLISHED FLOOR BEAM REPAIR AT STA 986.5 RB 20"" TO RBL 50"" AS PER- ESR 5-11622-WI-P1 AND B-737-800-SRM-53-70-51."
SCNA20250309069,3/9/2025 0:00:00,3/10/2025 11:52:52,SCNA,SCNA,A,GL,15,A,3350,L,,,K,,,,IN,C,809SY,BOEING,7378Q8,30683,59723.0,30683.0,,,,,,,,,,,,LAMP,,,OUT OF ADJUST,ZONE 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEFECT 734633: OUTSIDE EMERGENCY LIGHTS AT FWD SERVICE DOOR & FWD LEFT OVERWING EXIT INOP. - - RESOLUTION: ADJUSTED LAMP IAW AMM 33-51-04 AT FWD SERVICE DOOR & FWD LEFT OVERWING EXIT. OPS CK GOOD.
AALA202504017877,3/27/2025 0:00:00,4/1/2025 15:49:08,AALA,AALA,A,SW,21,A,5250,O,,,K,,,,IN,V,899NN,BOEING,737823,31151,37689.0,16176.0,,,,,,,,,,,,DOOR,,,UNSECURE,ZONE 800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AIRCRAFT WAS NOT GROUNDED: LOCK ON LAVATORY-D DOOR DIFFICULT TO OPEN AND CLOSE. RESECURED LAVATORY-D DOOR AS REQUIRED. PER CMM 25-40-64. OPERTIONAL CHECK GOOD.
AALA202504015498,3/21/2025 0:00:00,4/1/2025 15:49:09,AALA,AALA,A,SW,21,A,5250,O,,,K,,,,IN,V,914AN,BOEING,737823,29515,66949.0,27542.0,,,,,,,,,,,,DOOR,,,OUT OF ADJUST,ZONE 800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AIRCRAFT WAS NOT GROUNDED: FORWARD LAVATORY DOOR KEEPS GETTING STUCK. DIFFICULT TO OPEN FROM THE INSIDE. ADJUSTED FORWARD LAVATORY-A DOOR. PER CMM 25-44-49.
