wo_id,sdr_id,part_number,part_name,jasc_code,maintenance_type,discovery_code,fault_code,action_code,task_type,mel_code,repair_duration_hours,aog_flag,backorder_delay_days,labor_hours,turnaround_time_hours,deferred_flag,priority,work_accomplished
WO000000,CALA2025072106747,,SKIN,5230,Line,V,OTHER,RPR,Repair,N,2,0,12,2.0,290,0,Low,Repaired skin for condition: other; tested serviceable. SDR discrepancy: REMOVE AND REPLACE FWD CARGO DOOR EXTERIOR SKIN AS REF AAR N/R 9983191 REMOVED AND REPLACE FORWARD CARGO DOOR SKIN REF D
WO000001,SWAA2025072193261,,FLASHLIGHT,2560,Line,V,FAILED,R&R,Remove & Replace,N,4,0,15,3.7,364,0,Low,Removed and replaced flashlight; performed operational test. SDR discrepancy: FORWARD FA FLASHLIGHT INOP. ] R/R FWD INBD FLASHLIGHT REF AMM 25-64-00.
WO000002,SWAA2025082792733,,ANGLE,5320,Base,V,CRACKED,RPR,Repair,N,22,0,13,18.5,334,0,Low,Repaired angle for condition: cracked; tested serviceable. SDR discrepancy: CRACK ON ANGLE LOCATE FWD FACE BS 500H AT LEVEL STR 26R AT FWD CARGO COMPARTMENT. REPLACED ANGLE (CLIP ASSY) LOCATE FWD 
WO000003,AALA202508285422,147A571253,SHEAR WEB,5320,Base,V,CORRODED,CORR,Corrosion Removal,N,18,0,0,16.1,18,0,High,Removed corrosion on shear web; treated and protected area. SDR discrepancy: AIRCRAFT IN BASE MAINTENANCE: CORROSION TO PASSENGER CABIN FLOOR STRUCTURE SHEAR WEB LOCATED FROM BS 1017 TO BS 1023 AND
WO000004,SWAA2025082794271,,ANGLE,5320,Base,V,CRACKED,RPR,Repair,N,22,0,12,17.7,310,0,Low,Repaired angle for condition: cracked; tested serviceable. SDR discrepancy: CRACK ON CLIP- ANGLE LOCATED AFT FACE BS 500H AT LEVEL STR 26R AT FWD CARGO COMPARTMENT. REPLACED CLIP- ANGLE LOCATED AF
WO000005,SWAA2025082794815,,WEB,5320,Base,V,CORRODED,CORR,Corrosion Removal,N,18,0,12,16.9,306,0,Low,Removed corrosion on web; treated and protected area. SDR discrepancy: CORROSION ON SHIELD WEB LOCATED BTW BS 767 TO BS 787 RBL 22 WL 156.1 AT AFT CARGO COMPARTMENT. REPLACED SHIELD WEB IAW S
WO000006,SWAA2025082794816,,ACCESS DOOR,5512,Overnight,V,CRACKED,RPR,Repair,N,12,0,11,12.0,276,0,Low,Repaired access door for condition: cracked; tested serviceable. SDR discrepancy: CRACK ANGLE ACCESS PANEL 333AB AT LT HORIZONTAL STAB REPLACED BLADE ASSY ON ACCESS PANEL 333AB AT LT HORIZONTAL STABILIZ
WO000007,SWAA2025082795595,,SUPPORT ANGLE,5320,Base,V,CRACKED,RPR,Repair,N,22,0,14,21.2,358,0,Low,Repaired support angle for condition: cracked; tested serviceable. SDR discrepancy: CRACK ANGLE - SUPPORT LOCATED BS 947.5 AND S-26L AFT CARGO COMPARTMENT. REPLACED ANGLE-SUPPORT AND FASTENERS LOCATED BS 
WO000008,SWAA2025082793412,,SUPPORT ANGLE,5320,Base,V,CRACKED,RPR,Repair,N,22,0,14,24.8,358,0,Low,Repaired support angle for condition: cracked; tested serviceable. SDR discrepancy: CRACK ON SUPPORT ANGLE LOCATED BTW BS 380 TO BS 400 LBL 13 WL 208.1. REPLACED SUPPORT ANGLE AND FASTENERS LOCATED BTW BS
WO000009,ASAA2025070659298,,BATTERY PACK,3350,Line,OP,FAILED,R&R,Remove & Replace,N,4,0,10,4.9,244,0,Low,Removed and replaced battery pack; performed operational test. SDR discrepancy: RIGHT AFT OVERWING HATCH AND R2 DOOR EMERGENCY LIGHTS FAILED OPS CHECK. GROUNDED - YES. REMOVED AND INSTALLED SERVIEABLE
